council,amount,ccode,rcode,new_amount
Lambeth,418474.7813627688,E09000022,E12000007,294541
Lewisham,332979.9946658247,E09000023,E12000007,234366
Newham,368978.0239228329,E09000025,E12000007,259703
Southwark,481471.6877548336,E09000028,E12000007,338881
Tower Hamlets,197987.0297597433,E09000030,E12000007,139352
Wandsworth,80995.21063596824,E09000032,E12000007,57008
Westminster,157490.84521096063,E09000033,E12000007,110849
Outer London,,,,
Barking and Dagenham,193487.45369876747,E09000002,E12000007,136185
Barnet,166489.99733291235,E09000003,E12000007,117183
Bexley,157490.84521096063,E09000004,E12000007,110849
Brent,202488.0265899206,E09000005,E12000007,142520
Bromley,166489.99733291235,E09000006,E12000007,117183
Croydon,782953.2292246259,E09000008,E12000007,551077
Ealing,265484.93298198545,E09000009,E12000007,186860
Enfield,184488.30157681575,E09000010,E12000007,129851
Greenwich,359978.8718008812,E09000011,E12000007,253369
Harrow,121492.81595395236,E09000015,E12000007,85512
Havering,107992.66700182336,E09000016,E12000007,76010
Hillingdon,256485.78086003373,E09000017,E12000007,180526
Hounslow,206987.60265089644,E09000018,E12000007,145687
Kingston upon Thames,103493.09094084751,E09000021,E12000007,72843
Merton,67496.48245304068,E09000024,E12000007,47507
Redbridge,134991.5441368799,E09000026,E12000007,95013
Richmond Upon Thames,67496.48245304068,E09000027,E12000007,47507
Sutton,116993.2398929765,E09000029,E12000007,82345
Waltham Forest,229486.90372497716,E09000031,E12000007,161523
South East England,,E12000008,E12000008,
Bracknell Forest,58495.90956188753,E06000036,E12000008,41172
Brighton and Hove,400476.47711886535,E06000043,E12000008,281873
Buckinghamshire,157490.84521096063,E10000002,E12000008,110849
East Sussex,422974.35742374463,E10000011,E12000008,297708
Hampshire,625462.3840136653,E10000014,E12000008,440228
Isle of Wight,161990.42127193647,E06000046,E12000008,114016
Kent,1.2104285834785479e6,E10000016,E12000008,851953
Medway,251986.2047990579,E06000035,E12000008,177359
Milton Keynes,89994.36275791995,E06000042,E12000008,63342
Oxfordshire,319481.2664828971,E10000025,E12000008,224865
Portsmouth,125992.39201492822,E06000044,E12000008,88679
Reading,98993.51487987165,E06000038,E12000008,69676
Slough,76495.6345749924,E06000039,E12000008,53841
Southampton,211488.59948107376,E06000045,E12000008,148855
Surrey,629961.960074641,E10000030,E12000008,443395
West Berkshire,80995.21063596824,E06000037,E12000008,57008
West Sussex,341980.5675569778,E10000032,E12000008,240701
Windsor and Maidenhead,49496.75743993583,E06000040,E12000008,34838
Wokingham,53996.33350091168,E06000041,E12000008,38005
South West England,,E12000009,E12000009,
Bath and North East Somerset,139491.12019785578,E06000022,E12000009,98180
Bournemouth,112493.66383200066,E06000028,E12000009,79178
Bristol,499469.991998737,E06000023,E12000009,351549
Cornwall,224987.32766400132,E06000052,E12000009,158356
Devon,242985.63190790472,E10000008,E12000009,171024
Dorset,152989.84838078334,E10000009,E12000009,107681
Gloucestershire,395976.9010578895,E10000013,E12000009,278706
Isles of Scilly,0.0,E06000053,E12000009,0
North Somerset,80995.21063596824,E06000024,E12000009,57008
Plymouth,161990.42127193647,E06000026,E12000009,114016
Poole,67496.48245304068,E06000029,E12000009,47507
Somerset,202488.0265899206,E10000027,E12000009,142520
South Gloucestershire,107992.66700182336,E06000025,E12000009,76010
Swindon,256485.78086003373,E06000030,E12000009,180526
Torbay,76495.6345749924,E06000027,E12000009,53841
Wiltshire,148490.27231980747,E06000054,E12000009,104514
